season,week,game_type,home_team,away_team,home_score,away_score,result,elo_local_pre,elo_visita_pre,prob_local,elo_local_post,elo_visita_post
2005,4,REG,CAR,GB,32.0,29.0,3.0,1488.79,1469.18,0.6194,1496.4,1461.57
2005,5,REG,ATL,NE,28.0,31.0,-3.0,1518.95,1499.38,0.6194,1506.57,1511.76
2005,5,REG,BUF,MIA,20.0,14.0,6.0,1480.17,1507.62,0.5538,1489.09,1498.7
2005,5,REG,CLE,CHI,20.0,10.0,10.0,1492.5,1489.14,0.5971,1500.55,1481.08
2005,5,REG,DET,BAL,35.0,17.0,18.0,1492.24,1488.49,0.5977,1500.29,1480.44
2005,5,REG,GB,NO,52.0,3.0,49.0,1461.57,1499.27,0.5392,1470.78,1490.06
2005,5,REG,HOU,TEN,20.0,34.0,-14.0,1473.66,1481.01,0.5822,1462.01,1492.65
2005,5,REG,NYJ,TB,14.0,12.0,2.0,1480.21,1537.92,0.5105,1490.0,1528.13
2005,5,REG,LA,SEA,31.0,37.0,-6.0,1503.57,1500.23,0.5971,1491.63,1512.17
2005,5,REG,SF,IND,3.0,28.0,-25.0,1479.12,1538.35,0.5083,1468.96,1548.51
2005,5,REG,ARI,CAR,20.0,24.0,-4.0,1480.99,1496.4,0.5709,1469.57,1507.82
2005,5,REG,DAL,PHI,33.0,10.0,23.0,1502.49,1519.98,0.5679,1511.13,1511.34
2005,5,REG,DEN,WAS,21.0,19.0,2.0,1520.54,1527.92,0.5822,1528.9,1519.56
2005,5,REG,JAX,CIN,23.0,20.0,3.0,1500.02,1537.47,0.5396,1509.23,1528.26
2005,5,REG,LAC,PIT,22.0,24.0,-2.0,1501.85,1507.14,0.5851,1490.15,1518.84
2005,6,REG,BAL,CLE,16.0,3.0,13.0,1480.44,1500.55,0.5642,1489.16,1491.84
2005,6,REG,CHI,MIN,28.0,3.0,25.0,1481.08,1481.8,0.5915,1489.25,1473.62
2005,6,REG,DAL,NYG,16.0,13.0,3.0,1511.13,1519.0,0.5815,1519.5,1510.63
2005,6,REG,DET,CAR,20.0,21.0,-1.0,1500.29,1507.82,0.582,1488.65,1519.46
2005,6,REG,KC,WAS,28.0,21.0,7.0,1498.91,1519.56,0.5635,1507.65,1510.83
2005,6,REG,NO,ATL,31.0,34.0,-3.0,1490.06,1506.57,0.5693,1478.67,1517.95
2005,6,REG,PIT,JAX,17.0,23.0,-6.0,1518.84,1509.23,0.6058,1506.73,1521.34
2005,6,REG,TB,MIA,27.0,13.0,14.0,1528.13,1498.7,0.6326,1535.48,1491.35
2005,6,REG,TEN,CIN,23.0,31.0,-8.0,1492.65,1528.26,0.5422,1481.81,1539.11
2005,6,REG,BUF,NYJ,27.0,17.0,10.0,1489.09,1490.0,0.5912,1497.27,1481.82
2005,6,REG,DEN,NE,28.0,20.0,8.0,1528.9,1511.76,0.616,1536.58,1504.08
2005,6,REG,LV,LAC,14.0,27.0,-13.0,1482.11,1490.15,0.5812,1470.48,1501.77
2005,6,REG,SEA,HOU,42.0,10.0,32.0,1512.17,1462.01,0.6599,1518.97,1455.21
2005,6,REG,IND,LA,45.0,28.0,17.0,1548.51,1491.63,0.6686,1555.14,1485.0
2005,7,REG,MIA,KC,20.0,30.0,-10.0,1491.35,1507.65,0.5696,1479.96,1519.04
2005,7,REG,CIN,PIT,13.0,27.0,-14.0,1539.11,1506.73,0.6366,1526.37,1519.46
2005,7,REG,CLE,DET,10.0,13.0,-3.0,1491.84,1488.65,0.5969,1479.9,1500.59
2005,7,REG,HOU,IND,20.0,38.0,-18.0,1455.21,1555.14,0.4499,1446.21,1564.14
2005,7,REG,MIN,GB,23.0,20.0,3.0,1473.62,1470.78,0.5964,1481.7,1462.71
2005,7,REG,PHI,LAC,20.0,17.0,3.0,1511.34,1501.77,0.6057,1519.23,1493.89
2005,7,REG,LA,NO,28.0,17.0,11.0,1485.0,1478.67,0.6012,1492.97,1470.7
2005,7,REG,WAS,SF,52.0,17.0,35.0,1510.83,1468.96,0.6491,1517.85,1461.94
2005,7,REG,SEA,DAL,13.0,10.0,3.0,1518.97,1519.5,0.5917,1527.14,1511.33
2005,7,REG,ARI,TEN,20.0,10.0,10.0,1469.57,1481.81,0.5754,1478.07,1473.32
2005,7,REG,CHI,BAL,10.0,6.0,4.0,1489.25,1489.16,0.5926,1497.4,1481.01
2005,7,REG,NYG,DEN,24.0,23.0,1.0,1510.63,1536.58,0.556,1519.51,1527.7
2005,7,REG,LV,BUF,38.0,17.0,21.0,1470.48,1497.27,0.5548,1479.39,1488.36
2005,7,REG,ATL,NYJ,27.0,14.0,13.0,1517.95,1481.82,0.6416,1525.12,1474.66
2005,8,REG,CAR,MIN,38.0,13.0,25.0,1519.46,1481.7,0.6437,1526.58,1474.57
2005,8,REG,CIN,GB,21.0,14.0,7.0,1526.37,1462.71,0.6771,1532.83,1456.25
2005,8,REG,DAL,ARI,34.0,13.0,21.0,1511.33,1478.07,0.6378,1518.58,1470.82
2005,8,REG,DET,CHI,13.0,19.0,-6.0,1500.59,1497.4,0.5969,1488.65,1509.34
2005,8,REG,HOU,CLE,19.0,16.0,3.0,1446.21,1479.9,0.5449,1455.31,1470.8
2005,8,REG,NYG,WAS,36.0,0.0,36.0,1519.51,1517.85,0.5948,1527.61,1509.75
2005,8,REG,LA,JAX,24.0,21.0,3.0,1492.97,1521.34,0.5525,1501.92,1512.39
2005,8,REG,TEN,LV,25.0,34.0,-9.0,1473.32,1479.39,0.584,1461.64,1491.07
2005,8,REG,NO,MIA,6.0,21.0,-15.0,1470.7,1479.96,0.5795,1459.11,1491.55
2005,8,REG,LAC,KC,28.0,20.0,8.0,1493.89,1519.04,0.5571,1502.74,1510.18
2005,8,REG,DEN,PHI,49.0,21.0,28.0,1527.7,1519.23,0.6042,1535.61,1511.31
2005,8,REG,SF,TB,15.0,10.0,5.0,1461.94,1535.48,0.4877,1472.19,1525.23
2005,8,REG,NE,BUF,21.0,16.0,5.0,1504.08,1488.36,0.6141,1511.8,1480.65
2005,8,REG,PIT,BAL,20.0,19.0,1.0,1519.46,1481.01,0.6446,1526.57,1473.9
2005,9,REG,BAL,CIN,9.0,21.0,-12.0,1473.9,1532.83,0.5087,1463.73,1543.01
2005,9,REG,CLE,TEN,20.0,14.0,6.0,1470.8,1461.64,0.6051,1478.7,1453.74
2005,9,REG,JAX,HOU,21.0,14.0,7.0,1512.39,1455.31,0.6688,1519.02,1448.69
2005,9,REG,KC,LV,27.0,23.0,4.0,1510.18,1491.07,0.6187,1517.8,1483.44
2005,9,REG,MIA,ATL,10.0,17.0,-7.0,1491.55,1525.12,0.5451,1480.65,1536.02
2005,9,REG,MIN,DET,27.0,14.0,13.0,1474.57,1488.65,0.5728,1483.12,1480.1
2005,9,REG,NYJ,LAC,26.0,31.0,-5.0,1474.66,1502.74,0.5529,1463.6,1513.8
