season,week,home_team,away_team,prob_local,prob_visita
2026,10,NO,CAR,0.5912,0.4088
2026,10,NYJ,BUF,0.3819,0.6181
2026,10,TEN,JAX,0.4356,0.5644
2026,10,ARI,LA,0.4057,0.5943
2026,10,LV,SEA,0.3493,0.6507
2026,10,DAL,SF,0.5224,0.4776
2026,10,CIN,PIT,0.5414,0.4586
2026,10,BAL,LAC,0.5926,0.4074
2026,11,HOU,IND,0.6829,0.3171
2026,11,BUF,MIA,0.7036,0.2964
2026,11,CAR,BAL,0.4953,0.5047
2026,11,CHI,NO,0.6619,0.3381
2026,11,DAL,TEN,0.6999,0.3001
2026,11,DET,TB,0.6611,0.3389
2026,11,KC,ARI,0.7095,0.2905
2026,11,NYG,JAX,0.4636,0.5364
2026,11,LAC,NYJ,0.7268,0.2732
2026,11,DEN,LV,0.7695,0.2305
2026,11,PHI,PIT,0.6469,0.3531
2026,11,SF,MIN,0.6004,0.3996
2026,11,WAS,CIN,0.585,0.415
2026,12,LA,GB,0.6425,0.3575
2026,12,DET,CHI,0.6418,0.3582
2026,12,DAL,PHI,0.4948,0.5052
2026,12,BUF,KC,0.664,0.336
2026,12,PIT,DEN,0.5344,0.4656
2026,12,CIN,NO,0.6303,0.3697
2026,12,CLE,LV,0.6338,0.3662
2026,12,HOU,BAL,0.6262,0.3738
2026,12,IND,NYG,0.6631,0.3369
2026,12,MIA,NYJ,0.677,0.323
2026,12,MIN,ATL,0.6585,0.3415
2026,12,JAX,TEN,0.7325,0.2675
2026,12,ARI,WAS,0.5172,0.4828
2026,12,SF,SEA,0.5233,0.4767
2026,12,LAC,NE,0.5697,0.4303
2026,12,TB,CAR,0.6414,0.3586
2026,13,LA,KC,0.6482,0.3518
2026,13,ATL,DET,0.5101,0.4899
2026,13,CHI,JAX,0.5762,0.4238
2026,13,CLE,CIN,0.5404,0.4596
2026,13,NO,GB,0.5018,0.4982
2026,13,NYG,SF,0.4329,0.5671
2026,13,TB,LAC,0.5471,0.4529
2026,13,TEN,WAS,0.4942,0.5058
2026,13,ARI,PHI,0.401,0.599
2026,13,DEN,MIA,0.6941,0.3059
2026,13,MIN,CAR,0.6951,0.3049
2026,13,NE,BUF,0.5538,0.4462
2026,13,PIT,HOU,0.5503,0.4497
2026,13,SEA,DAL,0.719,0.281
2026,14,NE,MIN,0.6011,0.3989
2026,14,BAL,TB,0.6364,0.3636
2026,14,CAR,NO,0.5937,0.4063
2026,14,CLE,ATL,0.5371,0.4629
2026,14,DET,TEN,0.7594,0.2406
2026,14,MIA,CHI,0.5587,0.4413
2026,14,NYJ,DEN,0.3926,0.6074
2026,14,PHI,IND,0.6955,0.3045
2026,14,WAS,HOU,0.4907,0.5093
2026,14,LV,LAC,0.4376,0.5624
2026,14,CIN,KC,0.5477,0.4523
2026,14,SEA,NYG,0.7857,0.2143
2026,14,SF,LA,0.5704,0.4296
2026,14,GB,BUF,0.5229,0.4771
2026,14,JAX,PIT,0.5917,0.4083
2026,15,LAC,SF,0.5704,0.4296
2026,15,PHI,SEA,0.5508,0.4492
2026,15,BUF,CHI,0.6739,0.3261
2026,15,CAR,CIN,0.5548,0.4452
2026,15,GB,MIA,0.6415,0.3585
2026,15,HOU,JAX,0.6341,0.3659
2026,15,NYG,CLE,0.5674,0.4326
2026,15,PIT,BAL,0.5851,0.4149
2026,15,TB,NO,0.6426,0.3574
2026,15,TEN,IND,0.4896,0.5104
2026,15,WAS,ATL,0.5817,0.4183
2026,15,ARI,NYJ,0.5996,0.4004
2026,15,LA,DAL,0.679,0.321
2026,15,LV,DEN,0.3876,0.6124
2026,15,MIN,DET,0.58,0.42
2026,15,KC,NE,0.5561,0.4439
2026,16,PHI,HOU,0.6066,0.3934
2026,16,CHI,GB,0.5756,0.4244
2026,16,DEN,BUF,0.5815,0.4185
2026,16,SEA,LA,0.6374,0.3626
2026,16,ATL,TB,0.5828,0.4172
2026,16,BAL,CLE,0.6953,0.3047
2026,16,IND,CIN,0.5895,0.4105
2026,16,MIA,LAC,0.5339,0.4661
2026,16,MIN,WAS,0.6684,0.3316
2026,16,NO,ARI,0.6344,0.3656
2026,16,NYJ,NE,0.4198,0.5802
2026,16,PIT,CAR,0.6762,0.3238
2026,16,LV,TEN,0.6024,0.3976
2026,16,KC,SF,0.5568,0.4432
2026,16,DAL,JAX,0.5532,0.4468
2026,16,DET,NYG,0.7381,0.2619
2026,17,CIN,BAL,0.5338,0.4662
2026,17,ATL,NO,0.6334,0.3666
2026,17,CAR,SEA,0.4038,0.5962
2026,17,CLE,IND,0.5435,0.4565
2026,17,DAL,NYG,0.6756,0.3244
2026,17,JAX,WAS,0.6479,0.3521
2026,17,LAC,KC,0.6058,0.3942
2026,17,MIA,BUF,0.471,0.529
2026,17,NE,DEN,0.5649,0.4351
2026,17,NYJ,MIN,0.4286,0.5714
2026,17,TB,LA,0.5019,0.4981
2026,17,TEN,PIT,0.4348,0.5652
2026,17,ARI,LV,0.6046,0.3954
2026,17,CHI,DET,0.5412,0.4588
2026,17,SF,PHI,0.5655,0.4345
2026,17,GB,HOU,0.5501,0.4499
2026,18,ARI,SF,0.4278,0.5722
2026,18,BAL,PIT,0.5998,0.4002
2026,18,BUF,NYJ,0.7738,0.2262
2026,18,CAR,ATL,0.5515,0.4485
2026,18,CIN,CLE,0.6425,0.3575
2026,18,DEN,LAC,0.6412,0.3588
2026,18,GB,DET,0.5584,0.4416
2026,18,HOU,TEN,0.7655,0.2345
2026,18,IND,JAX,0.5391,0.4609
2026,18,KC,LV,0.7198,0.2802
2026,18,LA,SEA,0.5459,0.4541
2026,18,MIN,CHI,0.6299,0.3701
2026,18,NE,MIA,0.6695,0.3305
2026,18,NO,TB,0.5404,0.4596
2026,18,NYG,PHI,0.406,0.594
2026,18,WAS,DAL,0.5742,0.4258
